,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),label
232,2018-09-14,7.0,5.0,0.4166666666666667,0.0,0.0,0.0,12.0,7.0,0.3684210526315789,12.0,18.0,0.6,5.0,4.0,0.4444444444444444,3.0,12.0,0.8,0.0,0.0,0.0,4.0,4.0,0.5,1
233,2018-09-13,0.0,0.0,0.0,12.0,7.0,0.3684210526315789,12.0,18.0,0.6,5.0,4.0,0.4444444444444444,3.0,12.0,0.8,0.0,0.0,0.0,4.0,4.0,0.5,7.0,8.0,0.5333333333333333,0
234,2018-09-12,12.0,7.0,0.3684210526315789,12.0,18.0,0.6,5.0,4.0,0.4444444444444444,3.0,12.0,0.8,0.0,0.0,0.0,4.0,4.0,0.5,7.0,8.0,0.5333333333333333,45.0,54.0,0.5454545454545454,1
235,2018-09-11,12.0,18.0,0.6,5.0,4.0,0.4444444444444444,3.0,12.0,0.8,0.0,0.0,0.0,4.0,4.0,0.5,7.0,8.0,0.5333333333333333,45.0,54.0,0.5454545454545454,4.0,5.0,0.5555555555555556,1
236,2018-09-10,5.0,4.0,0.4444444444444444,3.0,12.0,0.8,0.0,0.0,0.0,4.0,4.0,0.5,7.0,8.0,0.5333333333333333,45.0,54.0,0.5454545454545454,4.0,5.0,0.5555555555555556,10.0,5.0,0.3333333333333333,0
237,2018-09-09,3.0,12.0,0.8,0.0,0.0,0.0,4.0,4.0,0.5,7.0,8.0,0.5333333333333333,45.0,54.0,0.5454545454545454,4.0,5.0,0.5555555555555556,10.0,5.0,0.3333333333333333,20.0,20.0,0.5,1
238,2018-09-08,0.0,0.0,0.0,4.0,4.0,0.5,7.0,8.0,0.5333333333333333,45.0,54.0,0.5454545454545454,4.0,5.0,0.5555555555555556,10.0,5.0,0.3333333333333333,20.0,20.0,0.5,30.0,34.0,0.53125,1
239,2018-09-07,4.0,4.0,0.5,7.0,8.0,0.5333333333333333,45.0,54.0,0.5454545454545454,4.0,5.0,0.5555555555555556,10.0,5.0,0.3333333333333333,20.0,20.0,0.5,30.0,34.0,0.53125,14.0,15.0,0.5172413793103449,0
240,2018-09-06,7.0,8.0,0.5333333333333333,45.0,54.0,0.5454545454545454,4.0,5.0,0.5555555555555556,10.0,5.0,0.3333333333333333,20.0,20.0,0.5,30.0,34.0,0.53125,14.0,15.0,0.5172413793103449,13.0,16.0,0.5517241379310345,0
241,2018-09-05,45.0,54.0,0.5454545454545454,4.0,5.0,0.5555555555555556,10.0,5.0,0.3333333333333333,20.0,20.0,0.5,30.0,34.0,0.53125,14.0,15.0,0.5172413793103449,13.0,16.0,0.5517241379310345,12.0,23.0,0.6571428571428571,0
242,2018-09-04,4.0,5.0,0.5555555555555556,10.0,5.0,0.3333333333333333,20.0,20.0,0.5,30.0,34.0,0.53125,14.0,15.0,0.5172413793103449,13.0,16.0,0.5517241379310345,12.0,23.0,0.6571428571428571,19.0,20.0,0.5128205128205128,0
243,2018-09-03,10.0,5.0,0.3333333333333333,20.0,20.0,0.5,30.0,34.0,0.53125,14.0,15.0,0.5172413793103449,13.0,16.0,0.5517241379310345,12.0,23.0,0.6571428571428571,19.0,20.0,0.5128205128205128,21.0,26.0,0.5531914893617021,1
