,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),label
109,2018-11-23,11,7,0.3888888888888889,12.0,5.0,0.29411764705882354,9.0,7.0,0.4375,1
110,2018-11-21,23,9,0.28125,11.0,7.0,0.3888888888888889,12.0,5.0,0.29411764705882354,0
111,2018-11-20,51,19,0.2714285714285714,23.0,9.0,0.28125,11.0,7.0,0.3888888888888889,0
112,2018-11-19,53,16,0.2318840579710145,51.0,19.0,0.2714285714285714,23.0,9.0,0.28125,0
113,2018-11-16,13,11,0.4583333333333333,53.0,16.0,0.2318840579710145,51.0,19.0,0.2714285714285714,0
114,2018-11-15,40,15,0.2727272727272727,13.0,11.0,0.4583333333333333,53.0,16.0,0.2318840579710145,1
115,2018-11-14,66,33,0.3333333333333333,40.0,15.0,0.2727272727272727,13.0,11.0,0.4583333333333333,1
116,2018-11-13,47,16,0.25396825396825395,66.0,33.0,0.3333333333333333,40.0,15.0,0.2727272727272727,0
117,2018-11-12,17,5,0.22727272727272727,47.0,16.0,0.25396825396825395,66.0,33.0,0.3333333333333333,0
118,2018-11-09,25,9,0.2647058823529412,17.0,5.0,0.22727272727272727,47.0,16.0,0.25396825396825395,0
119,2018-11-08,8,3,0.2727272727272727,25.0,9.0,0.2647058823529412,17.0,5.0,0.22727272727272727,0
120,2018-11-07,11,6,0.35294117647058826,8.0,3.0,0.2727272727272727,25.0,9.0,0.2647058823529412,1
121,2018-11-06,12,7,0.3684210526315789,11.0,6.0,0.35294117647058826,8.0,3.0,0.2727272727272727,1
122,2018-11-05,20,5,0.2,12.0,7.0,0.3684210526315789,11.0,6.0,0.35294117647058826,1
123,2018-11-02,41,14,0.2545454545454545,20.0,5.0,0.2,12.0,7.0,0.3684210526315789,1
124,2018-11-01,21,4,0.16,41.0,14.0,0.2545454545454545,20.0,5.0,0.2,0
125,2018-10-31,15,15,0.5,21.0,4.0,0.16,41.0,14.0,0.2545454545454545,1
126,2018-10-30,20,20,0.5,15.0,15.0,0.5,21.0,4.0,0.16,1
127,2018-10-29,39,16,0.2909090909090909,20.0,20.0,0.5,15.0,15.0,0.5,1
128,2018-10-26,46,38,0.4523809523809524,39.0,16.0,0.2909090909090909,20.0,20.0,0.5,0
129,2018-10-25,33,18,0.35294117647058826,46.0,38.0,0.4523809523809524,39.0,16.0,0.2909090909090909,0
130,2018-10-24,51,31,0.3780487804878049,33.0,18.0,0.35294117647058826,46.0,38.0,0.4523809523809524,1
131,2018-10-23,29,21,0.42,51.0,31.0,0.3780487804878049,33.0,18.0,0.35294117647058826,0
132,2018-10-22,21,7,0.25,29.0,21.0,0.42,51.0,31.0,0.3780487804878049,0
133,2018-10-19,30,11,0.2682926829268293,21.0,7.0,0.25,29.0,21.0,0.42,0
134,2018-10-18,38,8,0.17391304347826086,30.0,11.0,0.2682926829268293,21.0,7.0,0.25,1
135,2018-10-17,19,7,0.2692307692307692,38.0,8.0,0.17391304347826086,30.0,11.0,0.2682926829268293,0
136,2018-10-16,25,4,0.13793103448275862,19.0,7.0,0.2692307692307692,38.0,8.0,0.17391304347826086,0
137,2018-10-15,53,20,0.273972602739726,25.0,4.0,0.13793103448275862,19.0,7.0,0.2692307692307692,1
138,2018-10-12,43,15,0.25862068965517243,53.0,20.0,0.273972602739726,25.0,4.0,0.13793103448275862,0
139,2018-10-11,65,30,0.3157894736842105,43.0,15.0,0.25862068965517243,53.0,20.0,0.273972602739726,1
140,2018-10-10,34,22,0.39285714285714285,65.0,30.0,0.3157894736842105,43.0,15.0,0.25862068965517243,0
