,comment,date,+/-
118,"long term on tesla! it has the most upright potential throughout the next 2-3 years
","May 01, 2019 7:36PM ET",
119,"https://www.google.com/amp/s/www.torquenews.com/1083/prius-corolla-hybrid-camry-hybrid-and-rav4-hybrid-each-outselling-every-affordable-electric-vehicle-america/amp
","May 01, 2019 5:30PM ET",
120,"It's possible musk could face a margin call if the stock goes to the #213 neighborhood
","May 01, 2019 5:30PM ET",
121,"Tesla breaks down
","May 01, 2019 5:27PM ET",
122,"Next support $190...
","May 01, 2019 4:47PM ET",
123,"Tesla price drop 15% because of SEC and Consumer report now both has the opposite news. +15%???? no? :D :D
","May 01, 2019 4:37PM ET",
124,"I thought my post were being deleted but they were not, apologies to mods :P :D:D:D:D They were delayed...
","May 01, 2019 1:42PM ET",
125,"It should drop below $230 today
","May 01, 2019 1:31PM ET",
126,"Is it time to buy long term or still wait
","May 01, 2019 1:31PM ET",
127,"Double bottom baby jeee
","May 01, 2019 1:29PM ET",
128,"Groundhog day, 2009   ---&gt;         https://www.greencarreports.com/news/1021667_elon-musk-tesla-to-become-profitable-next-month-dispells-eberhard-lawsuit-claims
","May 01, 2019 12:48PM ET",
129,"The future of Tesla? Look to Norway. Google Translate this article and see for yourself:. https://www.tek.no/artikler/tesla-forbereder-seg-pa-enormt-salg-i-norge-i-helgen/461766
","May 01, 2019 12:45PM ET",
130,"Crazy how it´s still falling agains all the fundamentals!
","May 01, 2019 12:27PM ET",
131,"tesla go down like crazy next stop 220
","May 01, 2019 12:22PM ET",
132,"lost canada $$$
","May 01, 2019 12:00PM ET",
133,"SEC is to blame after agree for settlement and even went to court for judge approval then hours later saying it's not enough. What a joke
","May 01, 2019 11:59AM ET",
134,"bulls are overtrampelled again.
","May 01, 2019 11:53AM ET",
135,"Capital increase needed, equity offering soon
","May 01, 2019 11:50AM ET",
136,"Capital increase needed, equity offering soon
","May 01, 2019 11:49AM ET",
137,"Capital increase soon, equity offering
","May 01, 2019 11:47AM ET",
138,"Double bottom?
","May 01, 2019 11:47AM ET",
139,"TESLA = Vaymo + Mercedes + Uber It is the FUTURE. This disgusting crusade against it will lose. DELETE this too, loser.
","May 01, 2019 11:46AM ET",
140,"Soon to raise new funds, offering equity
","May 01, 2019 11:44AM ET",
141,"This will fly
","May 01, 2019 11:39AM ET",
142,"more stock offer at $200!!
","May 01, 2019 11:28AM ET",
143,"time to buy and make some money at 233 price
","May 01, 2019 11:14AM ET",
144,"And everybody that bets against him can do that as well but at what stake really, because it’s not as if there’s no downside protection for the stock. The people who short this company are so short-sighted because the number of companies that would come ou...Show more
","May 01, 2019 11:07AM ET",
